Components,Temperature K,Pressure kPa,Electrical conductivity S/m,Delta elec,SMILES
ethylammonium nitrate,312.834,101.325,3.4858,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,312.935,101.325,3.4947,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.035,101.325,3.5041,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.135,101.325,3.5129,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.236,101.325,3.5214,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.335,101.325,3.5302,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.435,101.325,3.5388,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.535,101.325,3.5476,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.635,101.325,3.5562,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.735,101.325,3.5647,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.835,101.325,3.5735,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,313.935,101.325,3.5822,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.035,101.325,3.5907,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.134,101.325,3.5995,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.233,101.325,3.608,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.332,101.325,3.6167,0.014,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.432,101.325,3.6253,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.532,101.325,3.6341,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.63,101.325,3.6427,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.729,101.325,3.6515,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.828,101.325,3.6602,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium nitrate,314.927,101.325,3.6688,0.015,[N+](=O)([O-])[O-].C(C)[NH3+]
