Components,Melting Temperature,Delta elec,SMILES
dodecyldimethylammonium chloride,469.976,0.24,[Cl-].C(CCCCCCCCCCC)[NH+](C)C
methyltriphenylphosphonium bromide,501.15,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
methyltriphenylphosphonium bromide,503.1,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
"1-butanaminium, N.N.N-tributyl-, salt with 2,4,6-trinitrophenol (1:1)",362.65,0.5,
methyltriphenylphosphonium bromide,505.15,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
"2,2-dihydroxydiethylamine",396.1,1.0,
tetrabutylammonium chloride,327.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
methyltriphenylphosphonium bromide,502.15,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
methyltriphenylphosphonium bromide,506.15,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
hydroxylammonium perchlorate,361.6,1.1,Cl(=O)(=O)(=O)[O-].O[NH3+]
difluorogermylene,385.1,1.5,F[Ge]F
methyltriphenylphosphonium bromide,506.15,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
tetrabutylammonium chloride,365.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
"(t-4)-bis(2,4-pentanedionato-O,O')beryllium",381.1,1.0,
ethylammonium nitrate,285.1,1.0,[N+](=O)([O-])[O-].C(C)[NH3+]
"lauric acid, thallium(1+) salt",398.0,1.0,
thallium methanoate,374.0,1.0,C(=O)[O-].[Tl+]
butyltriisoamylammonium tetraphenylborate,536.6,3.0,C1(=CC=CC=C1)[B-](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.C(CCC)[N+](CCC(C)C)(CCC(C)C)CCC(C)C
"stearic acid, thallium(1+) salt",385.0,1.0,
"palmitic acid, thallium(1+) salt",390.0,1.0,
